text,arg1,arg2,date
人口密度是單位面積有多少人,73,2,13/04/2021 11:47
而應力是單位面積承受多少力😁,,,
折疊後在直角處施力，會產生很大的剪應力，就能輕鬆撕開膠帶囉~💪,,,
那笑容也太古錐（可愛）了吧,0,0,14/04/2021 19:53
沙小……為什麼我覺得很可愛w,0,0,14/04/2021 19:45
阿駿好可愛,1,0,14/04/2021 18:25
一定要叫我們自然老師給全班看你的影片！,,,
笑的像個孩子,0,0,14/04/2021 10:01
我以為大家都會用牙齒咬著撕的招數🥲,3,0,14/04/2021 1:33
真希望有一個這麼有探索真相的兒子。如果也能長這麼可愛，就完美了～,3,0,14/04/2021 1:02
很喜歡你的笑容😊,0,0,14/04/2021 0:03
終於不用找剪刀了 (〃'▽'〃),0,0,13/04/2021 23:08
後面那可愛的笑容才是這隻影片的重點,6,0,13/04/2021 22:15
不怕身上沒剪刀用了，很實用,1,0,13/04/2021 22:09
重複播放+截圖,0,0,13/04/2021 20:46
来了～,0,0,13/04/2021 19:52
目光一直在阿駿臉上，帥~(是我太花癡？,16,0,13/04/2021 19:00
最後笑容好真實阿，哈哈哈哈,11,0,13/04/2021 18:42
是剪應力阿？？？,0,0,13/04/2021 18:42
這個笑容太犯規了啦,38,0,13/04/2021 18:37
媽，我戀愛惹⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄,,,
耶，以後不用找剪刀了（開心）,1,0,13/04/2021 18:33
你害我被我媽罵了啦⋯⋯🥺🥺,43,0,13/04/2021 18:26
「為什麼在那邊浪費膠帶！」,,,
認真回覆一下，這招其實也可以讓膠帶頭變得更好找哦～,,,
是因為這次一次就成功，所以顏藝反應比較大嗎 XD,41,0,13/04/2021 18:23
这件事能够让我们省下1年的时间,3,0,13/04/2021 18:22
方便👍🏻👍🏾🤩🤩🤩🤩🤩🤩,1,0,13/04/2021 18:07
oh wow,1,0,13/04/2021 17:57
酷啊,2,0,13/04/2021 17:45
第一,0,0,13/04/2021 17:45
液體具有一股使表面積收縮的力量，就好像水分子手牽手，互相拉扯靠近一樣😁,229,2,09/04/2021 18:24
所以當戳破棉線圈中間的泡泡膜時，棉線圈就會瞬間被四周的表面張力給拉開囉😏,,,
卡娃以,0,0,14/04/2021 21:34
怎麼調出這麼堅強的泡泡？,0,0,14/04/2021 6:23
Mickey Mouse 就是我,0,0,14/04/2021 2:09
Mickey Mouse,,,
米奇妙妙屋 開啟,,,
快進來 非常好玩,,,
莫斯卡，慕絲卡，John cena!,0,0,13/04/2021 23:11
